IdVariable,Categoria,Variable,Respuesta,Valor
1.0,Cobertura,Horario de atención,5*8,"=IF(D2="""","""",SUMIFS(Opciones!$C:$C,Opciones!$A:$A,A2,Opciones!$B:$B,D2))"
2.0,Cobertura,Idioma,Español,"=IF(D3="""","""",SUMIFS(Opciones!$C:$C,Opciones!$A:$A,A3,Opciones!$B:$B,D3))"
3.0,Canales,Teléfono,SI,"=IF(D4="""","""",SUMIFS(Opciones!$C:$C,Opciones!$A:$A,A4,Opciones!$B:$B,D4))"
4.0,Canales,Correo,SI,"=IF(D5="""","""",SUMIFS(Opciones!$C:$C,Opciones!$A:$A,A5,Opciones!$B:$B,D5))"
5.0,Canales,WhatsApp,SI,"=IF(D6="""","""",SUMIFS(Opciones!$C:$C,Opciones!$A:$A,A6,Opciones!$B:$B,D6))"
6.0,Canales,"Web,Chat",SI,"=IF(D7="""","""",SUMIFS(Opciones!$C:$C,Opciones!$A:$A,A7,Opciones!$B:$B,D7))"
7.0,Infraestructura,Ubicación ,Fisica,"=IF(D8="""","""",SUMIFS(Opciones!$C:$C,Opciones!$A:$A,A8,Opciones!$B:$B,D8))"
8.0,Infraestructura,Puesto de Trabajo,SI,"=IF(D9="""","""",SUMIFS(Opciones!$C:$C,Opciones!$A:$A,A9,Opciones!$B:$B,D9))"
9.0,Infraestructura,Diadema,SI,"=IF(D10="""","""",SUMIFS(Opciones!$C:$C,Opciones!$A:$A,A10,Opciones!$B:$B,D10))"
10.0,Infraestructura,Pantalla Adicional,SI,"=IF(D11="""","""",SUMIFS(Opciones!$C:$C,Opciones!$A:$A,A11,Opciones!$B:$B,D11))"
11.0,Infraestructura,PC,SI,"=IF(D12="""","""",SUMIFS(Opciones!$C:$C,Opciones!$A:$A,A12,Opciones!$B:$B,D12))"
12.0,Infraestructura,Herramienta ITSM,SI,"=IF(D13="""","""",SUMIFS(Opciones!$C:$C,Opciones!$A:$A,A13,Opciones!$B:$B,D13))"
13.0,Infraestructura,VPN,SI,"=IF(D14="""","""",SUMIFS(Opciones!$C:$C,Opciones!$A:$A,A14,Opciones!$B:$B,D14))"
14.0,Infraestructura,Herramienta Ofimatica,SI,"=IF(D15="""","""",SUMIFS(Opciones!$C:$C,Opciones!$A:$A,A15,Opciones!$B:$B,D15))"
15.0,Infraestructura,Implementación de Herramienta,Onpremise,"=IF(D16="""","""",SUMIFS(Opciones!$C:$C,Opciones!$A:$A,A16,Opciones!$B:$B,D16))"
16.0,Infraestructura,Plataforma monitoreo,SI,"=IF(D17="""","""",SUMIFS(Opciones!$C:$C,Opciones!$A:$A,A17,Opciones!$B:$B,D17))"
17.0,Infraestructura,Canal dedicado,SI,"=IF(D18="""","""",SUMIFS(Opciones!$C:$C,Opciones!$A:$A,A18,Opciones!$B:$B,D18))"
18.0,Monitoreo,Servidores Pivote,SI,"=IF(D19="""","""",SUMIFS(Opciones!$C:$C,Opciones!$A:$A,A19,Opciones!$B:$B,D19))"
19.0,Operación,Usuarios soportados,1,"=IF(D20="""","""",D20*10)"
20.0,Operación,Tickets mensuales,1,"=IF(D21="""","""",D21*10)"
21.0,Operación,Sedes,1,"=IF(D22="""","""",D22*10)"
22.0,Operación,Soporte,1,"=IF(D23="""","""",SUMIFS(Opciones!$C:$C,Opciones!$A:$A,A23,Opciones!$B:$B,D23))"
23.0,Operación,SLA,SI,"=IF(D24="""","""",SUMIFS(Opciones!$C:$C,Opciones!$A:$A,A24,Opciones!$B:$B,D24))"
24.0,Operación,Modelo de Gobierno,,"=IF(D25="""","""",SUMIFS(Opciones!$C:$C,Opciones!$A:$A,A25,Opciones!$B:$B,D25))"
25.0,Operación,Desplazamiento,SI,"=IF(D26="""","""",SUMIFS(Opciones!$C:$C,Opciones!$A:$A,A26,Opciones!$B:$B,D26))"
26.0,Operación,Informe de Gestión,,"=IF(D27="""","""",SUMIFS(Opciones!$C:$C,Opciones!$A:$A,A27,Opciones!$B:$B,D27))"
27.0,Operación,Imprevisto,SI,"=IF(D28="""","""",SUMIFS(Opciones!$C:$C,Opciones!$A:$A,A28,Opciones!$B:$B,D28))"
28.0,RRHH,Analistas N1,1,"=IF(D29="""","""",D29*1000)"
29.0,RRHH,Analistas N2,1,"=IF(D30="""","""",D30*1001)"
30.0,RRHH,Gerente de Servicio,1,"=IF(D31="""","""",D31*1002)"
31.0,RRHH,Gerente de Proyecto,1,"=IF(D32="""","""",D32*1003)"
32.0,RRHH,Reclutamiento,SI,"=IF(D33="""","""",SUMIFS(Opciones!$C:$C,Opciones!$A:$A,A33,Opciones!$B:$B,D33))"
33.0,RRHH,Capacitación,SI,"=IF(D34="""","""",SUMIFS(Opciones!$C:$C,Opciones!$A:$A,A34,Opciones!$B:$B,D34))"
34.0,RRHH,Operativos del talento,SI,"=IF(D35="""","""",SUMIFS(Opciones!$C:$C,Opciones!$A:$A,A35,Opciones!$B:$B,D35))"
35.0,Contractuales,Poliza /Contractuales,SI,"=IF(D36="""","""",SUMIFS(Opciones!$C:$C,Opciones!$A:$A,A36,Opciones!$B:$B,D36))"
36.0,Contractuales,Impuesto Timbre,SI,"=IF(D37="""","""",SUMIFS(Opciones!$C:$C,Opciones!$A:$A,A37,Opciones!$B:$B,D37))"
37.0,Contractuales,Impuesto Estampillas,NO,"=IF(D38="""","""",SUMIFS(Opciones!$C:$C,Opciones!$A:$A,A38,Opciones!$B:$B,D38))"
38.0,Contractuales,ICA,NO,"=IF(D39="""","""",SUMIFS(Opciones!$C:$C,Opciones!$A:$A,A39,Opciones!$B:$B,D39))"
39.0,Contractuales,Comisiones,NO,"=IF(D40="""","""",SUMIFS(Opciones!$C:$C,Opciones!$A:$A,A40,Opciones!$B:$B,D40))"
40.0,Contractuales,Costo Administrativo,SI,"=IF(D41="""","""",SUMIFS(Opciones!$C:$C,Opciones!$A:$A,A41,Opciones!$B:$B,D41))"
41.0,Contractuales,Costo Financiera de la Cartera,NO,"=IF(D42="""","""",SUMIFS(Opciones!$C:$C,Opciones!$A:$A,A42,Opciones!$B:$B,D42))"
,,,,
,,VALOR TOTAL DEL SERVICIO,=SUM(Cuestionario!E:E),
