IdVariable,Opcion,Valor,Comentarios
1,12*12,1.0,
1,5*11,200.0,
1,5*8,1000.0,
1,6*11,400.0,
1,6*8,300.0,
1,7*24,500.0,
2,Español,0.0,
2,Ingles,5.0,
2,Portugues,8.0,
3,NO,0.0,
3,SI,1.0,
4,NO,0.0,
4,SI,1.0,
5,NO,0.0,
5,SI,1.0,
6,NO,0.0,
6,SI,1.0,
7,Fisica,20.0,
7,Remoto,0.0,
8,NO,0.0,
8,SI,5.0,
9,NO,0.0,
9,SI,1.0,
10,NO,0.0,
10,SI,1.0,
11,NO,0.0,
11,SI,1.0,
12,NO,0.0,
12,SI,1.0,
13,NO,0.0,
13,SI,1.0,
14,NO,0.0,
14,SI,1.0,
15,Comercilaes,5.0,
15,Onpremise,20.0,
16,NO,0.0,
16,SI,2.0,
17,NO,0.0,
17,SI,1.0,
18,NO,0.0,
18,SI,1.0,
19,NO,0.0,
19,SI,0.0,
20,NO,0.0,
20,SI,0.0,
21,NO,0.0,
21,SI,0.0,
22,Aplicación Ofimática,10.0,
22,Infraestructura,30.0,
22,Onpremise,20.0,
22,etc,0.0,
23,NO,0.0,
23,SI,1.0,
24,M1,10.0,
24,M2,20.0,
24,M3,30.0,
25,NO,0.0,
25,SI,1.0,
26,Diario,1.0,
26,Mensual,4.0,
26,Quincenal,3.0,
26,Semanal,2.0,
27,NO,0.0,
27,SI,1.0,
28,NO,0.0,
28,SI,0.0,
29,NO,0.0,
29,SI,0.0,
30,NO,0.0,
30,SI,0.0,
31,NO,0.0,
31,SI,0.0,
32,NO,0.0,
32,SI,1.0,
33,NO,0.0,
33,SI,1.0,
34,NO,0.0,
34,SI,1.0,
35,NO,0.0,
35,SI,1.0,
36,NO,0.0,
36,SI,1.0,
37,NO,0.0,
37,SI,1.0,
38,NO,0.0,
38,SI,1.0,
39,NO,0.0,
39,SI,1.0,
40,NO,0.0,
40,SI,1.0,
41,NO,0.0,
41,SI,1.0,
48,5*8,0.0,
48,5*12,20.0,
48,7*24,35.0,
49,NO,0.0,
49,SI,10.0,
51,Español,0.0,
51,Ingles,30.0,
30117,N1-Monitoreo/NOC,0.0,
30117,N2-Gestión Casos,30.0,
