IdFormulario,ProductoServicio,Perfil,SalarioTotal,DescripcionPerfil
301,BD,BD. Junior Prueba,1000000.0,Perfil de prueba para SERVICIOS_EXCEL
200,GERENCIA,GS. Junior Gerente de Servicio,7800000.0,Junior Gerente de Servicio
200,GERENCIA,GS. Senior Gerente de Servicio,10400000.0,Senior Gerente de Servicio
200,GERENCIA,GS. Master Gerente de Servicio,13000000.0,Master Gerente de Servicio
200,BASE DE DATOS,BD. Junior (Tareas de Operación),5200000.0,Junior (Tareas de Operación)
200,BASE DE DATOS,BD. Senior (Administración y Soporte N1/N2),9750000.0,Senior (Administración y Soporte N1/N2)
200,BASE DE DATOS,BD. Master (Administración y Soporte N3) Sql - My Sql,13000000.0,Master (Administración y Soporte N3) Sql - My Sql
200,BASE DE DATOS,BD. Master (Administración y Soporte N3) Oracle-Informix-DB2,15600000.0,Master (Administración y Soporte N3) Oracle-Informix-DB2
200,SO,SO. Junior (Tareas de Operación) Windows,3250000.0,Junior (Tareas de Operación) Windows
200,SO,SO. Senior (Administración y Soporte N1/N2) Windows,6500000.0,Senior (Administración y Soporte N1/N2) Windows
200,SO,SO. Master (Administración y Soporte N3) Windows,10400000.0,Master (Administración y Soporte N3) Windows
200,SO,SO. Junior (Tareas de Operación) AIX - Solaris - Linux,4550000.0,Junior (Tareas de Operación) AIX - Solaris - Linux
200,SO,SO. Senior (Administración y Soporte N1/N2) AIX - Solaris - Linux,7800000.0,Senior (Administración y Soporte N1/N2) AIX - Solaris - Linux
200,SO,SO. Master (Administración y Soporte N3) AIX - Solaris - Linux,11700000.0,Master (Administración y Soporte N3) AIX - Solaris - Linux
200,SO,SO. Junior (Tareas de Operación) AS400,4940000.0,Junior (Tareas de Operación) AS400
200,SO,SO. Senior (Administración y Soporte N1/N2) AS400,8450000.0,Senior (Administración y Soporte N1/N2) AS400
200,SO,SO. Master (Administración y Soporte N3) AS400,13000000.0,Master (Administración y Soporte N3) AS400
200,PLATAFORMA_DE_BACKUP,PL. Junior (Tareas de Operación),3640000.0,Junior (Tareas de Operación)
200,PLATAFORMA_DE_BACKUP,PL. Senior (Administración y Soporte N1/N2),6500000.0,Senior (Administración y Soporte N1/N2)
200,PLATAFORMA_DE_BACKUP,PL. Master (Administración y Soporte N3),10400000.0,Master (Administración y Soporte N3)
200,APLICACIONES SOA CAPA MEDIA,AS. Junior (Tareas de Operación),4550000.0,Junior (Tareas de Operación)
200,APLICACIONES SOA CAPA MEDIA,AS. Senior (Administración y Soporte N1/N2),8450000.0,Senior (Administración y Soporte N1/N2)
200,APLICACIONES SOA CAPA MEDIA,AS. Master (Administración y Soporte N3),11700000.0,Master (Administración y Soporte N3)
200,OFFICE 365,OF. Junior (Tareas de Operación),3375000.0,Junior (Tareas de Operación)
200,OFFICE 365,OF. Senior (Administración y Soporte N1/N2),4500000.0,Senior (Administración y Soporte N1/N2)
200,OFFICE 365,OF. Master (Administración y Soporte N3),7000000.0,Master (Administración y Soporte N3)
200,INFRAESTRUCTURA,IN. Junior (Tareas de Operación),3900000.0,Junior (Tareas de Operación)
200,INFRAESTRUCTURA,IN. Senior (Administración y Soporte N1/N2),7150000.0,Senior (Administración y Soporte N1/N2)
200,INFRAESTRUCTURA,IN. Master (Administración y Soporte N3),10400000.0,Master (Administración y Soporte N3)
200,MONITOREO,MO. Junior (Tareas de Operación),2600000.0,Junior (Tareas de Operación)
200,MONITOREO,MO. Senior (Administración y Soporte N1/N2),4550000.0,Senior (Administración y Soporte N1/N2)
200,MONITOREO,MO. Master (Administración y Soporte N3),6500000.0,Master (Administración y Soporte N3)
200,ADMIN. VIRTUALIZACION HIPERVISORES,AV. Junior (Tareas de Operación),4550000.0,Junior (Tareas de Operación)
200,ADMIN. VIRTUALIZACION HIPERVISORES,AV. Senior (Administración y Soporte N1/N2),7800000.0,Senior (Administración y Soporte N1/N2)
200,ADMIN. VIRTUALIZACION HIPERVISORES,AV. Master (Administración y Soporte N3),11700000.0,Master (Administración y Soporte N3)
200,CLOUD,CL. Junior (Tareas de Operación),4550000.0,Junior (Tareas de Operación)
200,CLOUD,CL. Senior (Administración y Soporte N1/N2),7800000.0,Senior (Administración y Soporte N1/N2)
200,CLOUD,CL. Master (Administración y Soporte N3),13000000.0,Master (Administración y Soporte N3)
200,CLOUD AUTOMATION,IR. Junior (Tareas de Operación),4940000.0,Junior (Tareas de Operación)
200,CLOUD AUTOMATION,IR. Senior (Administración y Soporte N1/N2),7800000.0,Senior (Administración y Soporte N1/N2)
200,CLOUD AUTOMATION,IR. Master (Administración y Soporte N3),12350000.0,Master (Administración y Soporte N3)
